rainfall_mm,temperature_c,humidity_pct,flood_pct_increase,hospital_cases_7d,case_surge_pct,citizen_reports_count,citizen_avg_risk_score,days_since_last_heavy_rain,water_stagnation_index,outbreak_risk_pct
226.93,24.06,63.77,29.27,63,8.95,38,32.98,0,27.59,36.47
163.1,27.36,88.71,22.43,205,120.51,18,17.79,10,20.39,41.74
193.24,33.9,62.26,32.42,72,19.56,36,36.07,7,20.5,32.42
329.81,24.57,73.17,50.0,203,121.92,16,29.12,9,29.77,58.66
138.21,35.09,74.09,23.65,219,118.3,25,18.24,18,10.49,36.49
336.61,35.31,50.7,60.37,134,74.88,21,28.01,10,27.88,60.08
317.35,30.12,61.01,39.78,53,24.18,7,19.29,6,20.91,49.76
72.55,22.1,59.4,18.97,220,133.56,32,14.07,10,15.91,30.56
28.93,26.59,41.52,4.86,236,139.34,1,0.0,16,0.0,21.49
39.77,31.87,41.4,1.47,130,64.82,29,26.75,0,15.76,18.83
11.29,37.7,88.24,0.0,227,126.72,19,8.62,20,2.34,22.17
37.58,32.11,55.84,4.69,243,153.77,17,3.11,20,0.0,25.04
240.64,26.16,70.05,40.7,163,83.07,42,36.35,7,26.65,49.17
29.56,32.14,57.33,3.8,115,48.37,9,12.5,5,9.09,15.92
115.05,30.64,94.56,24.81,172,99.99,23,22.07,17,6.52,33.34
296.48,34.48,55.04,37.22,52,8.3,3,21.94,5,25.29,45.38
13.03,23.71,64.92,1.89,55,9.07,36,24.91,4,24.28,15.2
285.99,34.18,90.62,36.64,47,-0.22,3,13.51,12,16.48,45.21
102.24,30.66,88.83,17.15,102,44.14,12,11.74,18,6.38,28.77
45.77,37.41,50.79,11.3,187,104.0,24,21.63,7,11.82,27.24
245.37,27.47,86.55,34.7,220,128.61,12,18.2,8,28.34,51.33
221.99,32.12,66.57,20.28,181,108.28,17,9.27,16,3.63,38.69
307.73,36.91,68.01,47.15,128,69.55,23,27.27,2,31.07,57.91
258.6,23.64,47.74,40.97,222,126.47,1,1.18,18,4.64,49.31
282.2,37.0,44.67,44.35,84,34.41,32,24.32,10,13.12,46.4
102.3,33.01,82.22,21.52,189,110.08,18,9.54,16,0.52,29.63
66.22,23.09,68.79,4.58,115,66.85,8,0.0,20,0.0,16.78
263.96,26.82,65.34,43.0,209,120.34,27,18.22,18,13.63,50.36
283.36,33.33,82.31,48.47,147,74.25,34,41.75,1,42.79,53.82
346.72,23.08,84.4,43.12,31,-7.28,38,52.24,7,32.98,46.91
147.35,31.31,49.22,23.7,200,101.77,9,5.33,18,1.54,30.69
133.35,27.53,75.39,17.48,212,126.66,0,13.01,6,21.51,35.1
272.86,31.93,47.85,40.52,196,115.29,41,27.05,16,10.18,49.68
122.58,22.73,83.58,20.12,226,135.29,20,32.33,5,24.43,38.66
326.11,35.94,78.1,46.48,240,138.97,8,27.58,18,20.27,61.19
301.15,37.58,95.48,41.79,162,99.26,14,45.96,5,39.15,57.31
153.0,37.5,44.0,23.12,168,88.13,34,31.12,1,21.72,36.93
264.05,33.99,43.31,34.17,199,120.31,4,10.72,5,14.08,48.74
265.32,24.08,56.37,34.37,218,125.02,40,31.63,4,25.81,50.19
40.58,34.13,55.18,9.48,117,53.13,21,4.84,18,0.0,19.0
316.38,22.39,54.32,41.71,90,44.74,40,11.52,19,1.93,47.33
179.31,22.35,92.56,30.23,118,61.94,22,38.48,3,32.1,40.45
290.13,27.18,54.47,45.83,246,146.86,6,6.93,16,6.41,53.27
115.42,29.82,55.77,8.68,128,65.98,22,22.42,10,13.7,26.41
313.96,34.33,84.05,43.71,53,15.03,43,51.1,3,43.52,54.26
139.27,32.93,66.08,26.86,80,52.44,24,17.91,12,20.25,32.26
8.74,29.13,85.05,0.0,59,28.81,26,0.0,19,0.0,10.65
317.36,26.38,43.79,45.28,217,130.45,40,11.84,16,7.53,50.65
36.49,37.95,68.28,7.78,60,20.89,5,4.51,8,6.42,16.89
115.16,28.82,41.95,21.19,200,121.39,33,21.59,3,13.78,33.57
332.77,29.22,43.63,48.66,99,50.14,8,6.66,13,9.38,49.59
332.96,24.62,92.57,46.96,48,12.21,32,32.73,18,24.51,51.26
202.84,34.72,48.08,37.54,163,86.24,5,18.74,2,24.85,42.42
222.98,33.1,70.88,42.14,190,106.02,36,30.4,13,22.89,47.2
159.71,25.53,63.84,28.85,91,15.3,30,27.68,7,22.61,29.78
106.16,23.32,60.15,16.35,185,105.02,33,45.61,0,33.8,31.57
118.39,32.89,92.19,13.72,88,34.76,40,18.1,9,13.73,28.06
237.02,32.47,41.27,31.4,211,133.41,28,23.02,17,4.48,45.56
264.57,26.37,78.5,42.3,155,83.49,13,18.97,15,22.55,49.38
278.09,37.21,95.88,43.81,160,77.15,35,29.31,7,31.89,53.72
277.42,24.42,72.49,48.62,20,-7.07,35,45.59,0,45.22,44.04
36.47,28.92,94.34,8.72,169,84.3,14,33.71,11,16.63,25.9
175.58,37.1,43.03,18.82,153,85.79,7,13.8,7,9.03,35.12
24.86,28.72,64.29,8.99,211,122.99,25,10.51,15,0.0,22.31
194.59,32.22,55.09,24.2,149,87.0,35,14.48,17,0.0,39.56
157.33,28.36,82.39,21.68,246,137.67,20,31.82,3,37.09,43.64
311.26,26.39,96.92,47.94,41,7.61,27,42.33,5,40.75,52.39
126.07,37.74,54.88,28.89,81,23.08,3,12.63,11,14.65,30.48
45.39,28.55,77.94,22.36,151,86.28,15,27.28,8,17.16,26.87
54.33,36.31,51.49,11.18,162,92.15,21,5.76,14,0.0,24.02
267.72,25.68,72.79,39.24,49,16.63,11,16.9,15,19.36,43.52
218.29,25.41,66.91,35.42,150,80.01,15,8.55,11,12.34,44.41
39.89,22.5,96.38,10.42,210,123.32,39,21.94,13,11.92,30.14
34.02,32.43,75.29,3.5,66,36.83,37,17.46,12,6.12,18.1
246.83,27.9,60.27,46.0,168,89.72,41,34.63,1,35.43,45.66
30.1,35.83,46.62,5.67,104,50.44,36,23.09,2,12.54,16.85
288.54,29.57,48.77,45.77,216,115.31,28,26.38,9,21.02,55.88
248.65,37.49,53.07,40.63,56,10.39,17,28.52,8,22.94,44.1
33.07,24.97,54.56,7.07,23,-3.88,9,8.76,19,0.0,12.74
34.27,35.9,89.34,9.34,113,64.16,41,25.64,7,16.09,23.23
345.39,34.43,72.55,48.72,48,9.95,38,27.51,9,26.62,51.07
134.12,34.33,70.36,17.33,11,-14.55,17,5.6,18,5.82,28.02
132.87,35.52,46.66,14.43,176,94.08,0,25.09,2,20.35,31.25
285.42,34.18,89.89,45.01,121,56.39,38,39.01,4,33.48,53.99
331.8,32.02,81.92,53.66,72,30.36,20,50.29,2,44.45,54.52
345.17,24.1,43.92,54.06,38,-6.64,0,6.01,15,4.39,46.45
264.92,22.52,81.05,48.11,198,122.25,14,23.77,16,19.75,53.78
134.81,36.73,71.53,20.19,73,23.34,3,18.49,14,16.13,29.75
33.81,31.87,44.74,8.41,59,25.11,19,7.58,2,10.0,15.78
273.12,34.74,66.58,35.51,14,-20.0,9,15.71,11,14.34,40.64
197.65,29.7,68.11,27.71,228,137.35,22,18.47,8,22.57,41.86
151.36,23.88,49.61,26.18,46,16.04,40,10.58,20,0.0,23.83
317.69,24.0,94.85,51.9,45,13.07,33,37.25,11,30.18,52.79
43.36,32.97,89.3,5.03,209,111.38,32,12.62,14,10.19,24.65
174.96,28.88,78.8,25.89,235,138.66,33,36.66,1,29.96,44.73
8.92,25.21,66.81,0.0,201,104.54,38,3.91,17,0.0,19.04
166.69,29.87,63.88,23.22,126,61.98,9,10.76,19,2.93,34.96
24.42,23.03,77.76,8.12,142,82.9,19,11.79,11,11.76,17.16
45.99,31.31,71.64,9.77,14,-4.29,0,12.44,3,21.97,17.17
45.55,26.3,43.61,9.34,106,50.79,12,0.0,15,0.0,18.02
228.98,34.76,69.73,34.6,223,120.87,0,8.09,15,13.74,48.13
262.39,26.97,86.77,39.39,192,113.16,4,24.7,0,41.29,57.06
206.26,29.28,66.64,27.64,132,68.16,15,26.86,1,31.38,39.21
336.95,22.19,43.01,54.04,183,83.44,14,33.32,2,29.53,57.34
134.33,23.16,85.6,22.25,153,88.26,27,10.24,20,3.85,32.56
103.57,28.28,51.68,18.0,140,73.14,30,3.11,19,0.0,23.11
304.67,29.68,55.0,43.07,197,120.95,22,15.4,16,9.59,51.74
82.14,31.6,49.55,1.55,96,35.24,44,13.89,19,0.0,19.02
337.31,26.67,59.15,56.08,117,32.59,42,26.96,20,5.72,47.93
9.19,33.12,83.89,0.0,235,138.9,16,29.72,0,26.2,21.47
339.61,35.76,70.12,46.63,82,37.0,33,21.06,19,12.04,49.44
19.89,34.48,51.88,6.45,89,25.81,12,19.15,5,13.78,16.79
312.44,22.63,90.91,44.91,34,-5.16,13,21.24,14,22.51,45.95
187.06,29.69,91.02,33.36,217,146.71,10,20.85,13,22.78,45.52
347.57,23.68,90.49,55.22,53,12.89,27,34.75,19,22.94,52.38
30.46,25.87,53.85,7.99,13,-5.49,41,4.23,14,0.13,9.44
196.08,37.79,66.17,22.58,149,74.13,31,19.01,13,6.08,37.16
339.41,24.28,97.13,56.97,73,11.94,34,27.67,20,22.52,50.27
185.47,29.98,84.78,29.13,62,19.97,30,33.57,4,32.54,39.47
222.14,31.89,41.58,31.47,189,103.88,16,16.11,5,17.59,46.04
245.03,33.24,43.78,37.47,66,20.8,8,3.17,16,0.0,34.26
161.82,30.95,66.91,15.39,227,130.42,9,11.98,10,11.87,36.24
221.51,22.16,92.73,35.27,56,19.45,7,22.65,15,28.28,39.17
206.59,27.22,71.24,25.84,193,107.47,20,13.5,11,13.77,40.72
315.9,30.28,68.87,40.62,44,-0.78,12,4.47,14,13.0,47.43
20.68,23.41,46.12,0.0,170,97.22,4,6.24,3,10.83,16.38
101.93,27.61,78.09,20.85,175,81.07,5,4.95,17,7.52,29.22
332.89,22.53,87.68,46.79,67,8.26,29,25.29,20,19.79,54.67
312.14,23.26,62.06,54.49,151,86.58,30,44.72,2,32.38,55.01
162.2,28.35,84.99,21.65,232,138.72,16,22.99,7,26.58,44.53
218.95,24.12,95.94,24.31,54,15.54,10,28.17,2,37.87,39.63
100.7,31.08,51.82,9.52,165,78.84,19,8.76,7,8.29,24.94
69.9,33.03,70.35,16.66,145,71.0,8,6.07,17,3.63,24.05
164.98,34.81,56.65,23.97,82,32.56,1,17.0,9,17.2,33.0
126.91,25.2,85.99,16.29,101,34.57,36,20.28,19,7.3,24.93
206.36,24.68,73.5,31.75,194,103.42,0,9.08,16,6.18,39.18
31.82,23.67,76.81,7.28,225,135.22,3,20.73,7,18.74,24.41
341.17,32.18,86.28,56.76,47,22.75,35,35.77,10,33.33,57.21
345.24,33.3,62.97,59.03,181,97.31,24,46.9,4,36.79,65.5
245.87,22.51,93.08,35.08,40,12.72,2,18.22,12,24.25,40.05
189.95,36.98,70.92,21.86,126,48.69,8,2.95,20,0.0,35.71
111.79,22.83,49.16,14.7,112,59.94,21,28.3,4,19.4,23.21
285.76,30.66,80.36,44.17,14,-17.1,22,28.18,12,23.44,46.7
241.23,33.34,86.01,31.37,99,48.46,11,13.19,5,26.37,41.24
61.1,35.94,58.37,4.38,10,-15.32,9,12.08,4,11.69,18.04
319.27,33.43,89.72,49.61,61,31.23,33,42.59,8,35.47,54.52
288.78,34.83,92.56,43.07,133,61.67,42,27.81,15,27.41,52.24
332.68,27.43,56.06,50.07,75,35.02,9,36.66,1,37.76,52.77
255.37,35.04,97.04,34.51,190,104.43,29,42.26,0,39.52,50.38
216.63,23.28,48.16,31.34,223,127.4,21,33.36,7,26.43,41.68
149.29,36.32,51.72,17.77,25,-4.8,5,0.0,18,0.0,27.17
326.79,30.76,50.69,53.47,96,37.23,1,26.64,10,26.69,52.8
303.79,35.08,91.85,50.75,131,67.22,29,34.1,11,30.75,55.6
20.6,29.24,77.95,0.0,84,35.5,1,16.34,11,9.02,16.3
14.1,32.3,48.82,0.0,60,21.93,31,30.43,6,9.0,13.16
134.88,30.42,65.54,12.75,242,142.01,41,29.3,12,11.63,33.54
284.64,33.71,75.69,39.45,219,132.38,15,32.67,7,32.21,60.26
345.61,23.31,44.84,51.42,120,67.39,11,35.31,8,25.51,55.38
56.89,22.97,91.18,1.29,152,72.93,0,17.1,6,17.61,22.13
209.98,25.95,86.61,26.89,234,142.95,7,1.12,20,4.45,42.66
136.41,24.55,69.3,15.44,186,94.51,12,9.24,14,7.3,32.5
339.62,35.95,96.09,51.98,29,4.04,14,49.49,1,51.85,56.27
295.53,25.51,64.23,44.68,160,91.62,43,23.23,19,7.75,48.13
294.22,37.61,97.08,40.52,9,-20.0,7,22.95,11,33.09,50.99
166.7,27.39,78.74,25.89,124,63.41,9,29.06,0,39.79,38.31
148.11,24.91,76.81,19.48,25,-7.08,4,12.83,7,16.67,25.54
99.33,34.64,49.63,13.54,22,-11.4,18,16.84,4,10.96,21.13
24.45,32.54,91.15,12.03,179,110.14,37,22.89,14,10.6,26.95
303.33,29.97,64.79,52.2,202,109.44,10,36.95,0,41.55,59.36
285.45,30.89,49.41,36.32,61,14.22,42,30.23,0,27.25,45.82
349.9,33.51,40.73,56.63,97,45.27,19,35.81,9,26.78,53.66
348.84,25.66,72.47,56.38,23,0.82,19,26.33,9,32.49,55.17
196.62,37.94,70.59,23.75,132,66.87,20,13.18,20,0.84,37.09
270.3,37.6,81.72,44.64,101,56.66,17,21.3,14,15.63,49.66
330.94,32.41,91.63,57.33,197,115.58,9,26.03,16,21.16,63.74
298.13,25.19,44.61,39.11,241,123.24,33,25.8,5,22.65,52.85
90.34,32.88,82.43,8.96,135,65.76,25,20.21,2,16.78,27.77
160.44,23.16,50.87,29.15,174,91.51,29,19.35,12,12.97,31.3
49.56,22.49,89.77,8.79,25,0.5,8,5.87,15,7.32,16.26
334.15,26.12,87.51,52.88,231,113.0,30,50.03,7,49.88,61.2
214.13,29.4,71.37,33.82,237,158.39,41,38.73,14,23.17,49.91
83.88,35.89,81.19,14.54,44,13.58,3,0.0,16,5.45,25.05
236.74,33.63,58.23,28.88,71,28.52,5,1.89,16,4.6,37.34
218.25,33.88,67.33,37.97,157,94.12,13,17.17,12,21.37,44.5
128.57,28.81,87.65,25.13,131,86.08,3,15.76,16,19.16,37.78
44.18,27.53,66.64,5.48,241,147.63,25,13.33,5,8.13,24.5
236.69,27.94,60.75,35.29,234,143.59,38,16.22,16,1.19,44.02
184.51,37.8,68.66,20.02,241,141.71,16,7.86,15,3.62,39.71
271.45,22.64,88.04,43.29,59,18.2,18,28.16,13,26.56,44.2
184.46,35.87,59.44,30.53,216,120.19,5,14.72,12,14.03,40.76
299.0,31.26,50.08,44.54,184,96.06,28,33.32,5,29.62,54.77
195.41,29.02,81.3,34.93,176,91.84,10,30.97,2,30.56,40.0
198.52,33.6,87.91,28.11,113,44.53,15,10.97,13,8.85,36.39
307.45,29.79,45.84,48.94,102,47.39,29,30.74,13,17.26,49.28
144.2,35.97,53.91,16.53,217,111.19,24,19.91,14,0.0,33.77
51.24,36.41,48.23,7.57,188,106.86,39,15.23,7,0.0,26.49
14.93,28.75,60.18,1.37,187,104.38,10,4.14,14,0.0,20.91
265.52,26.43,66.12,40.95,116,58.51,6,22.04,12,21.39,43.14
219.01,31.48,83.43,31.0,219,121.82,25,12.35,16,12.94,42.2
247.91,36.6,77.77,36.53,202,139.28,21,12.09,20,6.11,50.35
78.47,25.37,76.01,15.9,119,70.21,24,23.97,2,25.53,26.01
52.05,31.97,60.44,5.62,121,50.71,18,17.07,5,11.4,18.05
10.02,32.1,88.8,0.0,209,121.2,30,17.57,4,15.25,22.78
125.95,33.73,67.33,27.64,245,138.47,25,9.29,16,4.4,37.59
208.52,24.11,96.79,38.19,91,32.55,41,38.86,1,44.9,41.54
140.32,33.45,76.78,14.59,205,105.95,40,13.46,14,9.16,33.03
155.93,36.54,47.32,26.84,85,40.12,35,27.96,4,19.6,32.21
316.93,24.87,79.22,45.03,70,21.22,22,9.69,19,9.3,46.57
125.15,25.8,58.86,20.09,23,3.08,12,22.89,5,17.47,26.18
182.33,37.54,79.81,28.82,215,131.28,24,17.84,5,19.26,42.73
275.36,24.9,44.04,40.13,139,83.66,1,6.15,17,4.48,43.71
141.81,35.67,50.14,17.35,122,54.51,1,0.0,17,2.2,28.57
219.62,29.88,89.63,29.49,195,113.8,15,29.06,3,28.29,46.63
302.52,25.96,53.18,40.8,46,15.73,8,0.0,16,5.93,43.69
332.58,35.93,88.55,45.73,46,6.87,27,27.17,13,26.67,56.18
55.74,29.12,56.2,8.03,63,15.83,12,3.83,13,5.58,18.04
324.67,30.24,77.29,45.12,24,8.88,34,31.77,12,21.44,50.56
174.78,27.75,80.26,29.63,77,33.15,40,33.64,6,24.16,35.35
94.09,31.49,69.73,21.55,21,-0.91,12,1.57,11,5.16,21.26
163.4,24.62,57.71,21.61,31,-5.91,30,12.28,14,5.37,25.25
343.11,28.26,52.33,52.66,179,89.58,20,16.49,18,17.93,54.94
174.95,37.51,41.92,28.74,6,-20.0,31,22.2,10,10.18,30.66
118.42,26.13,57.63,20.12,67,23.67,33,19.66,14,4.25,21.6
223.52,32.51,77.88,33.91,66,15.49,7,12.27,11,21.72,40.99
87.85,27.2,94.42,16.89,104,49.25,40,41.76,2,32.04,28.65
31.17,34.38,90.53,7.09,23,-18.17,1,0.0,16,2.74,16.34
49.46,24.09,84.43,1.23,21,-14.96,37,30.73,2,26.12,14.53
49.18,37.52,85.73,11.72,73,34.03,31,12.91,18,4.31,20.16
57.41,29.26,78.57,13.05,171,98.83,39,21.07,19,0.36,24.14
52.9,25.78,55.1,4.12,214,119.53,27,10.9,3,9.77,22.38
226.1,23.18,92.62,34.1,121,52.52,36,49.89,2,43.64,45.88
67.75,24.72,78.9,13.58,203,107.11,40,13.55,15,9.26,28.03
124.26,30.32,72.51,17.59,85,33.68,0,1.86,11,10.08,31.0
314.39,27.39,46.44,52.52,43,13.82,40,34.9,7,28.45,48.3
168.52,35.26,65.93,37.1,40,14.09,9,9.71,16,8.63,28.41
235.31,28.89,66.7,31.37,172,90.69,3,3.08,6,20.43,43.48
64.45,25.98,90.14,2.76,177,88.77,34,24.09,10,10.11,24.03
71.34,31.87,71.71,12.22,136,72.81,9,0.0,17,0.0,25.31
19.1,33.31,62.06,6.47,234,129.41,10,20.75,0,23.09,25.72
63.28,24.67,96.65,8.34,157,80.52,13,28.14,2,22.01,24.79
101.11,24.68,46.42,22.43,201,124.6,37,32.93,3,13.49,34.24
66.07,22.59,64.51,3.22,162,94.62,11,1.48,12,0.0,19.07
35.6,33.78,42.44,8.8,208,119.93,44,12.76,5,8.41,23.07
46.62,32.62,82.91,3.96,200,103.16,16,16.34,13,6.36,22.02
163.97,29.59,93.25,33.19,220,128.36,15,35.98,4,33.94,44.91
76.19,35.51,56.24,21.39,33,10.5,34,7.76,15,0.0,24.67
130.67,34.89,89.78,15.77,205,113.66,1,3.26,14,7.55,34.77
178.68,31.37,56.95,24.05,200,124.14,10,5.46,14,7.56,38.65
243.19,35.89,92.82,40.78,55,27.01,40,40.24,3,37.46,44.19
18.56,25.29,83.73,0.85,156,97.31,2,15.16,7,16.22,19.86
280.8,23.79,86.68,41.89,18,-5.56,28,18.95,15,16.72,44.97
221.63,26.32,41.04,33.37,73,33.37,17,6.01,15,3.89,35.05
33.21,22.91,95.84,0.0,150,91.31,19,32.48,3,29.47,22.14
306.38,30.5,82.15,45.89,174,99.58,13,18.36,12,27.34,57.75
322.7,36.99,57.68,44.96,61,16.66,33,20.53,12,15.64,48.84
26.07,22.63,88.1,1.45,215,119.74,30,21.85,1,26.54,26.0
100.52,23.95,56.33,22.3,16,-7.42,39,29.73,2,21.85,20.67
283.14,29.24,90.62,36.19,214,112.34,41,27.56,7,31.19,54.59
263.15,36.94,46.53,43.54,21,-7.15,17,16.81,14,9.07,44.16
68.66,27.06,80.81,8.9,34,11.44,29,11.85,10,12.15,21.48
77.23,30.12,71.36,10.19,92,23.8,24,9.8,8,14.33,18.51
132.81,22.67,45.6,23.87,207,130.28,18,11.79,6,10.26,32.43
172.16,24.37,54.03,27.52,103,57.65,7,14.78,12,5.16,32.06
218.3,37.79,40.72,35.6,27,-5.68,27,27.18,1,19.4,38.87
132.28,37.44,67.19,24.68,213,126.35,7,2.99,7,13.13,35.54
164.57,22.08,57.47,23.03,133,68.69,30,12.35,6,12.58,30.49
262.88,37.23,74.7,36.37,83,45.17,2,15.5,11,21.1,43.56
17.66,32.23,57.24,0.0,36,11.86,2,11.79,18,0.0,10.43
92.09,35.89,57.4,9.69,13,-20.0,43,19.52,6,14.15,17.89
251.11,29.28,83.11,52.41,19,-2.64,21,27.67,9,32.53,48.72
313.85,30.25,42.79,53.3,160,85.02,16,15.46,15,3.78,50.69
181.53,29.82,92.37,20.47,156,84.66,35,39.89,2,35.52,41.77
188.58,32.67,89.43,21.67,192,102.17,16,30.26,9,25.24,41.81
41.97,24.23,78.73,8.71,167,105.32,13,12.77,5,15.63,23.99
159.36,22.48,74.41,26.64,218,133.65,8,9.22,17,9.16,36.93
188.75,26.93,91.75,31.06,31,-5.25,29,24.1,17,11.02,34.79
88.65,33.27,50.75,12.02,215,112.66,20,16.82,4,14.42,29.35
97.89,25.23,44.58,14.06,113,52.25,11,8.92,20,0.0,22.4
135.16,32.77,53.89,21.91,80,36.81,36,19.74,6,8.76,27.84
11.92,37.52,86.09,2.22,152,83.25,31,23.05,1,23.68,21.83
116.12,23.5,42.01,6.32,69,36.03,10,2.92,10,0.0,21.39
77.95,32.76,73.8,10.54,217,130.99,19,16.02,12,6.77,29.9
117.99,29.1,97.74,13.44,181,108.42,34,32.72,4,23.96,34.59
46.32,35.89,89.63,7.82,113,57.95,10,19.53,5,20.92,22.95
312.23,24.83,70.24,61.76,133,57.55,7,14.53,13,27.35,58.39
209.79,33.08,43.69,33.31,14,-12.23,3,0.0,11,9.75,32.6
239.29,35.41,88.22,34.33,51,22.48,26,29.02,3,36.43,44.65
277.26,37.11,74.74,46.2,127,64.25,43,34.92,5,30.72,51.93
176.96,32.93,46.67,28.96,63,26.02,39,23.23,9,16.77,37.13
34.99,29.95,45.44,7.35,100,44.12,37,3.72,17,0.0,15.6
190.3,31.89,92.76,31.58,194,101.09,29,30.94,14,21.41,42.9
207.46,35.9,78.81,41.4,107,50.35,43,34.13,7,34.43,45.27
262.18,31.13,88.1,33.67,128,67.81,26,24.8,8,29.82,46.75
153.92,22.49,90.98,25.46,90,34.75,20,30.97,4,30.67,33.89
49.02,36.9,73.16,2.72,150,78.11,19,16.51,9,7.42,26.78
102.9,33.03,70.01,18.21,116,49.82,3,14.32,19,3.93,27.36
130.26,32.82,64.96,14.95,178,107.62,10,15.73,5,12.28,33.61
227.84,25.45,58.38,32.09,164,86.98,12,14.68,15,3.97,39.09
201.92,32.54,65.21,28.81,31,12.29,8,17.54,2,26.5,39.79
127.85,28.3,84.89,24.06,224,141.56,3,32.93,9,26.54,42.8
345.35,32.42,74.91,56.39,22,-5.98,11,19.23,10,31.55,55.6
213.99,23.71,91.77,25.87,171,85.93,8,15.09,10,19.01,42.34
86.84,32.53,65.72,13.3,181,83.98,12,6.4,16,0.0,25.68
40.11,37.99,75.21,2.47,225,118.22,25,12.75,3,16.59,26.77
57.74,22.77,76.62,2.37,86,26.34,37,19.74,3,16.59,16.37
89.86,37.63,74.32,12.39,176,108.36,41,12.61,16,7.17,28.24
60.44,28.51,80.75,7.52,76,31.59,12,9.85,8,9.75,17.48
69.37,35.93,53.77,22.54,58,21.78,38,22.17,18,4.58,23.56
103.36,34.52,69.72,17.67,227,113.57,27,28.42,4,25.3,31.69
64.81,31.07,46.05,2.83,166,81.08,18,12.53,5,11.81,20.96
314.38,33.82,62.3,44.33,75,37.1,23,17.74,2,31.57,51.51
32.68,36.06,68.28,10.01,168,94.29,18,26.85,0,23.89,27.3
185.96,28.47,77.83,38.34,150,78.82,12,11.11,19,4.45,38.53
146.59,27.23,95.13,14.06,42,12.52,12,2.75,15,9.56,29.65
343.92,32.68,74.84,42.19,191,120.42,27,28.81,10,26.3,61.04
43.65,34.93,83.13,15.9,141,72.23,1,16.05,12,18.48,24.12
142.26,34.2,69.36,23.29,205,117.22,9,17.28,9,12.2,39.15
339.47,34.77,76.78,46.58,242,142.87,21,32.44,2,37.2,62.9
303.6,28.97,44.11,48.21,204,135.14,12,15.15,8,19.91,54.38
286.89,35.09,54.75,29.85,183,85.21,8,5.15,11,6.29,45.99
93.98,23.92,60.99,14.11,39,11.47,32,21.47,13,6.81,20.46
63.96,30.71,67.4,11.23,86,36.41,13,26.57,0,21.82,22.0
235.68,22.09,42.65,39.97,137,75.87,19,7.6,17,2.5,38.71
325.63,27.19,48.12,43.78,146,72.07,14,14.21,16,6.14,48.39
197.08,27.86,56.06,29.99,224,128.94,31,8.38,8,13.66,42.25
202.21,28.34,96.35,25.7,162,93.69,32,35.28,8,27.16,42.61
101.59,33.13,59.22,16.52,8,10.24,16,7.21,9,10.01,24.59
270.48,28.22,67.96,36.09,171,100.46,23,20.81,18,6.34,47.12
69.53,29.18,51.37,8.39,216,117.22,29,3.38,14,0.0,24.7
116.67,25.8,75.43,12.52,196,107.28,12,17.67,4,22.91,33.01
151.78,27.97,56.28,26.02,157,81.04,15,17.64,14,12.91,36.55
180.13,25.64,52.01,31.31,160,72.3,1,3.74,19,0.19,37.19
88.63,23.17,69.96,12.12,208,116.03,16,25.23,1,28.32,32.47
44.62,31.66,40.32,6.88,198,117.86,31,11.16,12,0.0,23.73
215.66,32.69,40.44,25.11,239,129.14,42,15.32,15,0.31,44.67
104.58,31.91,52.71,14.19,210,128.39,7,4.07,14,0.0,30.85
205.53,29.42,42.13,30.58,154,86.57,2,2.95,9,5.46,38.89
58.26,28.08,46.27,21.84,163,82.79,11,5.95,13,0.16,27.69
170.99,35.81,59.65,20.09,27,-3.13,19,26.49,9,17.2,25.53
188.74,30.31,86.55,35.63,52,27.45,15,17.99,13,24.52,38.38
22.88,29.67,73.18,8.42,152,87.2,13,11.13,8,14.29,23.96
121.13,22.41,69.73,19.57,129,66.07,15,7.13,13,3.12,29.28
51.37,27.46,57.02,16.5,170,91.43,42,23.26,2,19.92,30.02
26.86,28.08,94.04,5.89,59,19.95,32,3.2,19,3.28,16.35
346.54,28.38,63.03,53.93,72,23.91,29,29.11,15,18.68,51.98
116.21,31.28,45.05,17.17,211,103.83,11,1.36,1,11.51,30.11
284.41,30.54,75.79,48.78,92,57.67,14,22.34,9,25.19,51.58
92.85,31.73,46.6,19.41,221,128.58,17,23.69,2,18.49,35.05
240.12,34.24,60.02,32.89,5,-13.48,27,24.08,10,18.31,40.82
267.28,35.01,69.43,33.5,139,72.2,22,13.02,10,10.44,45.99
210.5,33.49,90.7,30.56,189,100.12,13,5.44,20,8.79,44.06
167.69,37.29,68.63,21.15,99,44.51,29,10.42,20,0.0,31.47
147.09,22.29,80.73,21.75,144,63.2,32,19.31,12,18.32,31.37
125.36,25.13,97.58,24.99,110,71.55,44,40.96,6,33.04,37.02
325.69,22.12,47.63,46.57,137,61.46,14,13.9,16,11.24,52.05
291.56,32.36,55.93,43.52,112,46.41,6,26.15,1,29.49,48.13
337.93,36.37,62.89,50.98,182,97.81,14,13.1,11,15.13,58.34
47.88,25.9,64.47,11.42,46,20.97,41,29.54,9,8.84,17.27
257.15,36.83,63.84,27.34,106,50.78,37,19.77,17,8.59,43.77
328.73,22.96,92.64,46.28,128,55.44,43,41.01,10,36.88,53.98
67.53,36.95,81.41,11.19,144,86.03,10,11.71,15,9.24,23.65
27.94,27.63,75.26,10.19,107,57.18,28,8.02,16,4.37,20.67
260.69,23.62,57.94,36.64,150,84.31,30,12.32,18,6.56,43.2
203.19,29.77,87.78,21.1,198,117.73,24,24.8,17,7.05,40.73
